'Epoch (TDB)','TP (TDB)',e,'i (deg)','w (deg)','Node (deg)','q (AU)','Q (AU)','P (yr)','MOID (AU)','A1 (AU/d^2)','A2 (AU/d^2)','A3 (AU/d^2)','DT (d)'
56717,2456376.326,0.62966,25.542725,188.7289,66.388246,1.061393,4.67,4.85,0.051318,-0,0,0,?
51606,2450626.305,0.688642,31.974148,179.574949,205.260325,0.978812,5.31,5.57,0.01839,?,?,?,?
54069,2454776.877,0.756989,10.149954,271.195627,200.674221,0.943996,6.83,7.66,0.147585,?,?,?,?
55720,2454938.94,0.69237,19.44783,150.469305,65.464313,0.901669,4.96,5.02,0.051186,?,?,?,?
56908,2456886.746,0.832503,10.240106,345.825553,93.8265,0.531314,5.81,5.65,0.170738,0,0,-0,?
54831,2455083.48,0.689643,12.88188,246.775468,125.62202,1.223482,6.66,7.83,0.306437,?,?,?,?
54553,2455075.7,0.726769,5.146143,345.424886,7.132384,0.780761,4.93,4.83,0.062285,?,?,?,?
52717,2452555.598,0.663764,20.709609,1.329461,15.497785,1.192066,5.9,6.68,0.194983,?,?,?,?
54112,2453976.035,0.816148,8.434095,64.04057,240.646086,0.510586,5.04,4.63,0.052649,?,?,?,?
52306,2451613.458,0.672411,10.381052,343.282682,190.996285,1.001368,5.11,5.34,0.017389,?,?,?,?
56981,2457876.215,0.668189,18.266593,179.692329,279.730037,1.008178,5.07,5.3,0.024517,0,-0,?,?
55913,2456265.959,0.815403,29.079419,171.169021,218.014288,1.280277,12.59,18.27,0.291456,?,?,?,?
54246,2454098.266,0.58698,14.471177,26.315486,113.350858,1.251302,4.81,5.27,0.284398,?,?,?,?
56799,2456281.057,0.975096,136.398972,20.184192,320.431069,0.810431,64.27,185.64,0.171765,0,0,?,?
53393,2452985.145,0.675769,5.931685,9.066913,69.333067,0.998683,5.16,5.41,0.016462,?,-0,?,?
55173,2454631.335,0.594516,19.085798,233.269518,315.443321,1.297735,5.1,5.73,0.393614,?,?,?,?
56981,2456807.378,0.693462,5.691471,222.748463,95.806603,0.82598,4.56,4.42,0.024454,?,-0,?,?
53391,2452865.469,0.598259,8.364458,0.768802,341.498602,1.246919,4.96,5.47,0.239208,?,?,?,?
55727,2455385.227,0.590447,10.645569,328.727963,280.985604,1.19839,4.65,5.01,0.203854,?,?,?,?
17544,2417536.077,0.948761,56.033181,8.456068,85.809506,1.208611,45.97,114.56,0.230296,?,?,?,?
22841,2422813.844,0.847783,22.070431,96.448673,68.219581,1.098349,13.33,19.38,0.367524,?,?,?,?
43773,2443790.992,0.665232,5.94733,240.462219,132.253514,1.101418,5.48,5.97,0.13492,?,?,?,?
48547,2448445.695,0.928818,19.19031,41.471198,329.430984,0.982559,26.62,51.28,0.074988,?,?,?,?
53580,2453318.081,0.984177,26.613142,21.976803,81.613782,0.049058,6.15,5.46,0.010175,0,-0,?,?
53089,2452891.317,0.977409,13.676229,43.689723,4.932375,0.057013,4.99,4.01,0.076579,?,?,?,?
51441,2451453.843,0.650787,8.191042,219.858826,148.450296,1.231759,5.82,6.62,0.247638,?,?,?,?
